Date,Variable,T1,T2,T3,T4,T8,T9,T10,T11
2021/07/21,Alkalinity,,0.00206314871,0.0020919,0.00204164122,,0.00208680499,0.0020491,0.00205695096
2021/07/21,pCO2,,1278.07879,1158,928.63571282158,,1731.02606,1889,1850.88023123176
2021/07/21,Salinity,,33.9,31.2,29.6,,34,31.3,27.2
2021/07/21,"pH set point",,7.64764253727,7.654,7.64842553109,,7.39932481,7.401,7.65900908707
2021/07/22,pH,7.563,7.654,7.594,7.63974551062,7.371,7.266,7.454,7.36044853022
2021/07/22,Alkalinity,0.00206153834,0.00206314871,0.0020919,0.00204164122,0.00206153834,0.00208680499,0.0020491,0.00205695096
2021/07/22,pCO2,1228.3,1038.02367,1161,1019.96769543555,1949.77,2595.02336,1605,2008.84008507788
2021/07/22,Salinity,31.5,24.7,30.9,29.8,31.2,25.5,30.6,29.9
2021/07/22,"pH set point",7.655,7.669,7.655,7.64785981299,7.414,7.42123278,7.404,7.65068080378
2021/07/23,pH,7.627,7.716,7.65,7.60820236471,7.39,7.395,7.369,7.40192292719
2021/07/23,Alkalinity,0.00206153834,0.00206314871,0.0020919,0.00204164122,0.00206153834,0.00208680499,0.0020491,0.00205695096
2021/07/23,pCO2,1060.95,856.620128,1016,1101.99579681594,1874.05,1853.71207,1949.54,1820.17117891715
2021/07/23,Salinity,30.1,29.6,30.4,29.7,30.3,30.1,30.8,29.9
2021/07/23,"pH set point",7.655,7.652,7.656,7.64814157027,7.414,7.407,7.403,7.65068080378
2021/07/25,pH,7.548,7.60595,7.669,7.63535327128,7.346,7.383941,7.437,7.41418150188
2021/07/25,Alkalinity,0.00206153834,0.00206314871,0.0020919,0.00204164122,0.00206153834,0.00208680499,0.0020491,0.00205695096
2021/07/25,pCO2,1278.78,1112.606,982,1026.83557155079,2013.41,1915.43757,1719,1756.55845910696
2021/07/25,Salinity,30.8,30.7,28.8,30.4,30.6,31,28.7,31
2021/07/25,"pH set point",7.649,7.649769,7.661,7.64621553064,7.393,7.41002594,7.418,7.64774843201
2021/07/26,pH,7.656,7.647,7.637,7.62758896994,7.463,7.36,7.441,7.41590456969
2021/07/26,Alkalinity,0.00206969681,0.00205794853,0.0020919,0.00191188531,0.00204948711,0.00209514426,0.0020491,0.00205695096
